year,survival,lookback,kill
1997,0.572628047508886,1,0.0629489321122886
1997,0.617001247366471,2,0.0629489321122886
1997,0.619500385922109,3,0.0629489321122886
1997,0.628990120430575,4,0.0629489321122886
1997,0.648582908707543,5,0.0629489321122886
1997,0.599893315050836,6,0.0629489321122886
1997,0.606484570962683,7,0.0629489321122886
1997,0.575093667504249,8,0.0629489321122886
1997,0.581452783528915,9,0.0629489321122886
1997,0.582940519080776,10,0.0629489321122886
1997,0.580900392071128,11,0.0629489321122886
1997,0.572679612235485,12,0.0629489321122886
1997,0.55843671602079,13,0.0629489321122886
1997,0.564032514843187,14,0.0629489321122886
1997,0.554389929967976,15,0.0629489321122886
1997,0.553383204821358,16,0.0629489321122886
1998,0.651825309097015,1,0.148581162882806
1998,0.61222667830295,2,0.148581162882806
1998,0.628609267943319,3,0.148581162882806
1998,0.627581616715836,4,0.148581162882806
1998,0.633557158163863,5,0.148581162882806
1998,0.649123308772455,6,0.148581162882806
1998,0.607312171343147,7,0.148581162882806
1998,0.612152163229474,8,0.148581162882806
1998,0.583619405459,9,0.148581162882806
1998,0.588490036085725,10,0.148581162882806
1998,0.589202772718616,11,0.148581162882806
1998,0.586810801823285,12,0.148581162882806
1998,0.578767742763295,13,0.148581162882806
1998,0.565107329811949,14,0.148581162882806
1998,0.569885367793442,15,0.148581162882806
1998,0.560479641163541,16,0.148581162882806
1999,0.709161434021334,1,2.43480190760044
1999,0.680493371559175,2,2.43480190760044
1999,0.644538263542412,3,2.43480190760044
1999,0.648747309462823,4,2.43480190760044
1999,0.643897580176935,5,2.43480190760044
1999,0.646157870806775,6,2.43480190760044
1999,0.657700183808009,7,2.43480190760044
1999,0.62004332917792,8,2.43480190760044
1999,0.622930971095237,9,2.43480190760044
1999,0.596173608315234,10,2.43480190760044
1999,0.59946016317078,11,2.43480190760044
1999,0.599199327827176,12,2.43480190760044
1999,0.596222388915443,13,2.43480190760044
1999,0.588081577853155,14,2.43480190760044
1999,0.574710936759241,15,2.43480190760044
1999,0.578590121932686,16,2.43480190760044
2000,0.485842845432203,1,1.91740190147839
2000,0.597502139726769,2,1.91740190147839
2000,0.615609862850184,3,1.91740190147839
2000,0.60486440901486,4,1.91740190147839
2000,0.616166416656699,5,1.91740190147839
2000,0.617555124386147,6,1.91740190147839
2000,0.623255724324693,7,1.91740190147839
2000,0.636218016511033,8,1.91740190147839
2000,0.605132164317285,9,1.91740190147839
2000,0.609222158528933,10,1.91740190147839
2000,0.586143538962231,11,1.91740190147839
2000,0.589992053359232,12,1.91740190147839
2000,0.590479598412178,13,1.91740190147839
2000,0.588338135809497,14,1.91740190147839
2000,0.581265662358425,15,1.91740190147839
2000,0.569156681051302,16,1.91740190147839
2001,0.805876989921562,1,7.44039353589929
2001,0.645859917676882,2,7.44039353589929
2001,0.666960423125033,3,7.44039353589929
2001,0.663176644618029,4,7.44039353589929
2001,0.6450669251962,5,7.44039353589929
2001,0.647784845534176,6,7.44039353589929
2001,0.644458248034063,7,7.44039353589929
2001,0.646083382524302,8,7.44039353589929
2001,0.655069013556648,9,7.44039353589929
2001,0.625206646877713,10,7.44039353589929
2001,0.627099870473718,11,7.44039353589929
2001,0.604454659875509,12,7.44039353589929
2001,0.60659858694095,13,7.44039353589929
2001,0.605865126377134,14,7.44039353589929
2001,0.602840726083635,15,7.44039353589929
2001,0.595303870331121,16,7.44039353589929
2002,0.729173405921803,1,11.1486241390903
2002,0.767525197921682,2,11.1486241390903
2002,0.673631080425189,3,11.1486241390903
2002,0.682513668824226,4,11.1486241390903
2002,0.676375996878783,5,11.1486241390903
2002,0.659084671983801,6,11.1486241390903
2002,0.659411782732409,7,11.1486241390903
2002,0.655047642770031,8,11.1486241390903
2002,0.655315607346246,9,11.1486241390903
2002,0.662479452793163,10,11.1486241390903
2002,0.634658170427175,11,11.1486241390903
2002,0.635605998427725,12,11.1486241390903
2002,0.614048409571377,13,11.1486241390903
2002,0.615353931153868,14,11.1486241390903
2002,0.614085678346778,15,11.1486241390903
2002,0.61073651857352,16,11.1486241390903
2003,0.673861781872637,1,9.93544146275084
2003,0.70151759389722,2,9.93544146275084
2003,0.736304059238667,3,9.93544146275084
2003,0.673688755787051,4,9.93544146275084
2003,0.680783291433908,5,9.93544146275084
2003,0.675956961044426,6,9.93544146275084
2003,0.661195687682206,7,9.93544146275084
2003,0.661218032624937,8,9.93544146275084
2003,0.65713810267032,9,9.93544146275084
2003,0.657170224798885,10,9.93544146275084
2003,0.663514209982206,11,9.93544146275084
2003,0.637925138047631,12,9.93544146275084
2003,0.63854875100041,13,9.93544146275084
2003,0.618320793307182,14,9.93544146275084
2003,0.619254454535119,15,9.93544146275084
2003,0.617821684817145,16,9.93544146275084
2004,0.695024093944176,1,18.7367309780806
2004,0.684442937908406,2,18.7367309780806
2004,0.699353093912872,3,18.7367309780806
2004,0.725984067915044,4,18.7367309780806
2004,0.677955823418476,5,18.7367309780806
2004,0.683156758518952,6,18.7367309780806
2004,0.678680837172961,7,18.7367309780806
2004,0.665424238464952,8,18.7367309780806
2004,0.664974261660408,9,18.7367309780806
2004,0.660926701797706,10,18.7367309780806
2004,0.660611485630275,11,18.7367309780806
2004,0.666140033645704,12,18.7367309780806
2004,0.642317365424288,13,18.7367309780806
2004,0.642582704067822,14,18.7367309780806
2004,0.623434346682981,15,18.7367309780806
2004,0.623990056998185,16,18.7367309780806
2005,0.64934609013261,1,20.1569209631494
2005,0.672185092038393,2,20.1569209631494
2005,0.672743988649808,3,20.1569209631494
2005,0.686851342967807,4,20.1569209631494
